universe, channel, y,z,x, phi, theta,R,G,B, size
15,0,1.8833333333333,3.35,2.19,0,0,0,40,40,0.01
15,0,1.8832178333427,3.35,2.2164704855048,0,0,0,40,40,0.01
15,0,1.8828713421666,3.35,2.2429389551806,0,0,0,40,40,0.01
15,0,1.8822938861917,3.35,2.2694033933516,0,0,0,40,40,0.01
15,0,1.8814855093934,3.35,2.2958617846493,0,0,0,40,40,0.01
15,0,1.8804462733327,3.35,2.3223121141656,0,0,0,40,40,0.01
15,0,1.8791762571515,3.35,2.3487523676063,0,0,0,40,40,0.01
15,0,1.8776755575664,3.35,2.3751805314446,0,0,0,40,40,0.01
15,0,1.8759442888614,3.35,2.4015945930744,0,0,0,40,40,0.01
15,0,1.8739825828792,3.35,2.4279925409634,0,0,0,40,40,0.01
15,0,1.8717905890114,3.35,2.4543723648065,0,0,0,40,40,0.01
15,0,1.8693684741866,3.35,2.4807320556788,0,0,0,40,40,0.01
15,0,1.8667164228582,3.35,2.5070696061887,0,0,0,40,40,0.01
15,0,1.8638346369901,3.35,2.5333830106306,0,0,0,40,40,0.01
15,0,1.8607233360414,3.35,2.5596702651376,0,0,0,40,40,0.01
15,0,1.8573827569495,3.35,2.5859293678344,0,0,0,40,40,0.01
15,0,1.8538131541125,3.35,2.6121583189895,0,0,0,40,40,0.01
15,0,1.8500147993692,3.35,2.6383551211675,0,0,0,40,40,0.01
15,0,1.8459879819789,3.35,2.6645177793813,0,0,0,40,40,0.01
15,0,1.8417330085993,3.35,2.6906443012442,0,0,0,40,40,0.01
15,0,1.837250203263,3.35,2.716732697121,0,0,0,40,40,0.01
15,0,1.8325399073527,3.35,2.7427809802803,0,0,0,40,40,0.01
15,0,1.8276024795756,3.35,2.7687871670453,0,0,0,40,40,0.01
15,0,1.8224382959358,3.35,2.794749276945,0,0,0,40,40,0.01
15,0,1.8170477497056,3.35,2.8206653328651,0,0,0,40,40,0.01
15,0,1.811431251396,3.35,2.8465333611983,0,0,0,40,40,0.01
15,0,1.8055892287247,3.35,2.872351391995,0,0,0,40,40,0.01
15,0,1.7995221265843,3.35,2.8981174591129,0,0,0,40,40,0.01
15,0,1.7932304070079,3.35,2.9238296003672,0,0,0,40,40,0.01
15,0,1.7867145491341,3.35,2.9494858576796,0,0,0,40,40,0.01
15,0,1.7799750491704,3.35,2.9750842772275,0,0,0,40,40,0.01
15,0,1.7730124203558,3.35,3.000622909593,0,0,0,40,40,0.01
15,0,1.765827192921,3.35,3.0260998099111,0,0,0,40,40,0.01
15,0,1.7584199140488,3.35,3.0515130380182,0,0,0,40,40,0.01
15,0,1.7507911478319,3.35,3.0768606585992,0,0,0,40,40,0.01
15,0,1.7429414752302,3.35,3.1021407413355,0,0,0,40,40,0.01
15,0,1.7348714940263,3.35,3.1273513610518,0,0,0,40,40,0.01
15,0,1.7265818187803,3.35,3.1524905978625,0,0,0,40,40,0.01
15,0,1.7180730807828,3.35,3.1775565373183,0,0,0,40,40,0.01
15,0,1.7093459280069,3.35,3.2025472705515,0,0,0,40,40,0.01
15,0,1.7004010250588,3.35,3.227460894422,0,0,0,40,40,0.01
15,0,1.6912390531272,3.35,3.2522955116615,0,0,0,40,40,0.01
15,0,1.6818607099314,3.35,3.2770492310186,0,0,0,40,40,0.01
15,0,1.6722667096682,3.35,3.3017201674026,0,0,0,40,40,0.01
15,0,1.6624577829577,3.35,3.3263064420268,0,0,0,40,40,0.01
15,0,1.6524346767873,3.35,3.3508061825521,0,0,0,40,40,0.01
15,0,1.642198154455,3.35,3.3752175232291,0,0,0,40,40,0.01
15,0,1.6317489955112,3.35,3.3995386050406,0,0,0,40,40,0.01
15,0,1.6210879956996,3.35,3.4237675758426,0,0,0,40,40,0.01
15,0,1.6102159668963,3.35,3.4479025905062,0,0,0,40,40,0.01
15,0,1.5991337370479,3.35,3.4719418110571,0,0,0,40,40,0.01
15,0,1.5878421501088,3.35,3.4958834068165,0,0,0,40,40,0.01
15,0,1.5763420659768,3.35,3.51972555454,0,0,0,40,40,0.01
